symbol,exchange,datetime,open,high,low,close,volume,open_interest,strategy
ethusdt,BINANCE,2021-01-31 18:00:00,1340.22,1353.92,1338.0,1352.1,30328.03872,0.0,-1
ethusdt,BINANCE,2021-01-31 19:00:00,1352.09,1357.43,1350.0,1354.29,31523.91848,0.0,-1
ethusdt,BINANCE,2021-01-31 20:00:00,1354.36,1371.85,1350.0,1359.29,68082.65718,0.0,-1
ethusdt,BINANCE,2021-01-31 21:00:00,1359.2,1362.42,1344.69,1349.08,32658.62401,0.0,-1
ethusdt,BINANCE,2021-01-31 22:00:00,1349.07,1352.24,1331.11,1331.12,44350.40841,0.0,-1
ethusdt,BINANCE,2021-01-31 23:00:00,1331.12,1337.38,1291.68,1311.1,133279.68523,0.0,1
ethusdt,BINANCE,2021-02-01 00:00:00,1311.01,1320.0,1296.29,1312.51,68381.98073,0.0,1
ethusdt,BINANCE,2021-02-01 01:00:00,1312.5,1318.0,1284.07,1289.96,72578.08147,0.0,1
ethusdt,BINANCE,2021-02-01 02:00:00,1289.89,1306.63,1281.12,1288.24,41580.09784,0.0,1
ethusdt,BINANCE,2021-02-01 03:00:00,1288.37,1308.0,1286.81,1305.0,34787.20554,0.0,1
ethusdt,BINANCE,2021-02-01 04:00:00,1305.0,1313.26,1292.0,1309.46,32087.30602,0.0,1
ethusdt,BINANCE,2021-02-01 05:00:00,1309.47,1311.7,1293.88,1294.44,28590.21024,0.0,1
ethusdt,BINANCE,2021-02-01 06:00:00,1294.33,1316.32,1293.79,1311.1,22442.89693,0.0,1
ethusdt,BINANCE,2021-02-01 07:00:00,1311.03,1321.93,1307.68,1312.55,31412.36783,0.0,1
ethusdt,BINANCE,2021-02-01 08:00:00,1312.45,1312.68,1269.99,1279.97,102595.40826,0.0,1
ethusdt,BINANCE,2021-02-01 09:00:00,1279.85,1322.41,1277.76,1318.54,68955.91027,0.0,1
ethusdt,BINANCE,2021-02-01 10:00:00,1318.55,1324.63,1307.54,1318.15,37422.18649,0.0,1
ethusdt,BINANCE,2021-02-01 11:00:00,1317.91,1321.58,1310.16,1316.92,38787.26487,0.0,1
ethusdt,BINANCE,2021-02-01 12:00:00,1316.91,1330.0,1312.01,1314.96,55432.23898,0.0,1
ethusdt,BINANCE,2021-02-01 13:00:00,1314.86,1324.6,1310.0,1320.48,36354.29746,0.0,1
ethusdt,BINANCE,2021-02-01 14:00:00,1320.6,1337.83,1301.7,1309.67,61325.47517,0.0,1
ethusdt,BINANCE,2021-02-01 15:00:00,1309.67,1320.89,1304.39,1316.67,34120.74459,0.0,1
ethusdt,BINANCE,2021-02-01 16:00:00,1316.65,1332.75,1307.52,1331.98,44898.59392,0.0,1
ethusdt,BINANCE,2021-02-01 17:00:00,1331.99,1338.57,1324.47,1328.61,45333.66807,0.0,1
ethusdt,BINANCE,2021-02-01 18:00:00,1328.61,1339.16,1322.35,1324.65,45628.50158,0.0,1
ethusdt,BINANCE,2021-02-01 19:00:00,1324.65,1345.19,1323.0,1336.41,61777.5083,0.0,1
ethusdt,BINANCE,2021-02-01 20:00:00,1336.4,1345.52,1325.0,1330.1,47461.33322,0.0,1
ethusdt,BINANCE,2021-02-01 21:00:00,1330.11,1337.49,1324.61,1327.27,39212.87304,0.0,1
ethusdt,BINANCE,2021-02-01 22:00:00,1326.93,1330.18,1310.0,1314.28,44581.12394,0.0,1
ethusdt,BINANCE,2021-02-01 23:00:00,1314.27,1320.0,1301.51,1301.73,43652.15927,0.0,1
ethusdt,BINANCE,2021-02-02 00:00:00,1301.96,1313.23,1300.0,1309.18,41596.15178,0.0,1
ethusdt,BINANCE,2021-02-02 01:00:00,1309.17,1322.0,1305.94,1318.49,35566.41106,0.0,1
